Country,Code,Income,Year,Sex,Age,Exposure,Deaths,Rate,bsn,bsn_lp,bsn_up,psc,up,lp,Source_dts,pop_yng,pop_in,fit_in,inc_in
Albania,ALB,Upper-mid,2016,t,20-24,252693,88,34.8,107.0113297073313,75,140.02499999999998,0.8223428326764466,1.1733333333333333,0.6284592037136226,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,t,20-24,247295,109,44.1,102.16633131455221,74,133,1.0668876781374104,1.472972972972973,0.8195488721804511,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,t,20-24,239704,105,43.8,96.61035061540314,70.97500000000002,128,1.0868400676651644,1.4793941528707286,0.8203125,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,t,20-24,231328,86,37.2,90.95623895434166,61.97500000000002,124,0.9455096317600643,1.3876563130294468,0.6935483870967742,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,t,20-24,212758,98,46.1,79.61630496164348,48,126.02499999999998,1.2309036452673001,2.0416666666666665,0.7776234874032931,unicef_ccs,2866848.5,1,1,1
Algeria,DZA,Lower-mid,2015,t,Infant,975970,12621,1293.2,16857.91171708952,8911.375,28111.649999999998,0.7486692427749282,1.4162797548077597,0.4489597729055392,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2016,t,Infant,991100,22232,2243.2,18291.960514703984,10767.125000000004,27792.699999999997,1.2153973316380613,2.064803742874722,0.7999222817502438,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2017,t,Infant,998043,22261,2230.5,19681.921904930616,11985.25,28797.8,1.1310379193417737,1.8573663461337895,0.7730104382973699,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2018,t,Infant,1038166,21845,2104.2,21875.62777767298,14359.650000000001,32579.475,0.9985999132009258,1.5212766327870106,0.670514181091009,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2019,t,Infant,1034054,21030,2033.7,23281.57808560452,14198.475,35550.24999999999,0.903289284028529,1.4811449821195586,0.591557021399287,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2020,t,Infant,992019,18736,1888.7,23865.176908126043,13400.949999999999,39503.725,0.7850769375030457,1.3981098354967374,0.47428438710526666,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2015,f,1-4,1784378,0,0,625.8250593482998,18,2465.075,0,0,0,unicef_ccs,43451666,1,0,0
Algeria,DZA,Lower-mid,2016,f,1-4,1834660,1404,76.5,823.326320488109,52,2675.125,1.7052776828118876,27,0.5248352880706509,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2017,f,1-4,1875746,1406,75,1077.062124126283,121.92500000000007,2779.4749999999995,1.3054028811388692,11.53167931105187,0.5058509250847733,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2018,f,1-4,1907682,1505,78.9,1401.5965652866075,229.92500000000007,3587.075,1.0737754624079348,6.545612699793409,0.4195618993190831,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2019,f,1-4,1928750,1426,73.9,1813.189934621801,361.85000000000014,4955.774999999998,0.7864592521563043,3.9408594721569696,0.28774510545777415,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2020,f,1-4,1933152,1155,59.7,2325.325110255182,325.8000000000002,7211.449999999998,0.4967047381487442,3.545119705340698,0.16016196465343313,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2015,m,1-4,1863080,1610,86.4,1586.1009557038471,1415.95,1762.025,1.0150677951552884,1.1370457996398178,0.9137214284700841,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2016,m,1-4,1914303,1584,82.7,1595.5332110884763,1438,1772.0749999999998,0.992771563131169,1.1015299026425591,0.8938673588871804,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2017,m,1-4,1955838,1520,77.7,1595.9669509260175,1453.975,1752.025,0.9524006741606149,1.0454099967330939,0.8675675290021546,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2018,m,1-4,1987837,1679,84.5,1588.062642067169,1437.95,1761,1.057263079883586,1.1676344796411557,0.9534355479840999,unicef_ccs,43451666,1,1,1
Algeria,DZA,Lower-mid,2019,m,1-4,2009030,1544,76.9,1571.3362402146674,1397.95,1766.125,0.9826031886014842,1.1044744089559713,0.8742303064618869,unicef_ccs,43451666,1,1,1
